"ACCOUNTID","ASSETID","CASENUMBER","CLOSEDDATE","COMMENTS","CONTACTEMAIL","CONTACTFAX","CONTACTID","CONTACTMOBILE","CONTACTPHONE","CREATEDBYID","CREATEDDATE","DESCRIPTION","ENGINEERINGREQNUMBER__C","ID","ISCLOSED","ISDELETED","ISESCALATED","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","MASTERRECORDID","ORIGIN","OWNERID","PARENTID","POTENTIALLIABILITY__C","PRIORITY","PRODUCT__C","REASON","SLAVIOLATION__C","SOURCEID","STATUS","SUBJECT","SUPPLIEDCOMPANY","SUPPLIEDEMAIL","SUPPLIEDNAME","SUPPLIEDPHONE","SYSTEMMODSTAMP","TYPE"
"001Hp00002g1VGkIAM","","00001010","2022-09-09T18:59:51.000Z","","tripley@uog.com","(650) 450-8820","003Hp00002pTA6tIAG","(650) 345-7636","(650) 450-8810","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","658733","500Hp00001dGBnrIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","No","Low","GC1060","Feedback","No","","Closed","Maintenance guidelines for generator unclear","","","","","2023-10-28T20:45:25.000Z","Other"
"001Hp00002g1VGkIAM","","00001011","2022-09-09T18:59:51.000Z","","ldcruz@uog.com","(650) 450-8820","003Hp00002pTA6uIAG","(650) 345-6637","(650) 450-8810","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","965884","500Hp00001dGBnsIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","No","Medium","GC3020","Equipment Design","No","","Closed","Electronic panel fitting loose","","","","","2023-10-28T20:45:25.000Z","Electronic"
"001Hp00002g1VGiIAM","","00001012","2022-09-09T18:59:51.000Z","","jane_gray@uoa.edu","(520) 773-9060","003Hp00002pTA6qIAG","(520) 773-4539","(520) 773-9050","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","347209","500Hp00001dGBntIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","Yes","Medium","GC1020","Breakdown","Yes","","Closed","Repeated motor breakdown while shutting off","","","","","2023-10-28T20:45:25.000Z","Electrical"
"001Hp00002g1VGfIAM","","00001013","2022-09-09T18:59:51.000Z","","bond_john@grandhotels.com","(312) 596-1500","003Hp00002pTA6lIAG","(312) 596-1563","(312) 596-1000","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","654623","500Hp00001dGBnuIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","No","Medium","GC5020","Equipment Design","No","","Closed","Starting up generator consumes excessive power","","","","","2023-10-28T20:45:25.000Z","Other"
"001Hp00002g1VGfIAM","","00001014","2022-09-09T18:59:51.000Z","","bond_john@grandhotels.com","(312) 596-1500","003Hp00002pTA6lIAG","(312) 596-1563","(312) 596-1000","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","500Hp00001dGBnvIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","Yes","High","GC3020","Installation","No","","Closed","Delay in installation; spare parts unavailable","","","","","2023-10-28T20:45:25.000Z","Other"
"001Hp00002g1VGkIAM","","00001015","2022-09-09T18:59:51.000Z","","ldcruz@uog.com","(650) 450-8820","003Hp00002pTA6uIAG","(650) 345-6637","(650) 450-8810","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","354982","500Hp00001dGBnwIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","Yes","Medium","GC3060","Breakdown","No","","Closed","Frequent mechanical breakdown","","","","","2023-10-28T20:45:25.000Z","Mechanical"
"001Hp00002g1VGlIAM","","00001016","","","efrank@genepoint.com","(650) 867-9895","003Hp00002pTA6vIAG","(650) 867-7686","(650) 867-3450","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","651375","500Hp00001dGBnxIAG","false","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","No","Low","GC5020","Feedback","No","","New","Maintenance guidelines for generator unclear","","","","","2023-10-28T20:45:25.000Z","Other"
"001Hp00002g1VGbIAM","","00001017","2022-09-09T18:59:51.000Z","","sean@edge.com","(512) 757-9000","003Hp00002pTA6gIAG","(512) 757-4561","(512) 757-6000","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","736734","500Hp00001dGBnyIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","No","Medium","GC1040","Equipment Complexity","No","","Closed","Shutting down of generator","","","","","2023-10-28T20:45:25.000Z","Mechanical"
"001Hp00002g1VGbIAM","","00001018","2022-09-09T18:59:51.000Z","","sean@edge.com","(512) 757-9000","003Hp00002pTA6gIAG","(512) 757-4561","(512) 757-6000","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","526714","500Hp00001dGBnzIAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","No","Medium","GC1040","Equipment Complexity","No","","Closed","Cannot start generator after electrical failure","","","","","2023-10-28T20:45:25.000Z","Electrical"
"001Hp00002g1VGcIAM","","00001019","2022-09-09T18:59:51.000Z","","jrogers@burlington.com","(336) 222-8000","003Hp00002pTA6hIAG","","(336) 222-7000","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","636265","500Hp00001dGBo0IAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","Yes","High","GC5060","Equipment Design","No","","Closed","Structural failure of generator base","","","","","2023-10-28T20:45:25.000Z","Structural"
"001Hp00002g1VGcIAM","","00001020","2022-09-09T18:59:51.000Z","","jrogers@burlington.com","(336) 222-8000","003Hp00002pTA6hIAG","","(336) 222-7000","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","237645","500Hp00001dGBo1IAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","Yes","Medium","GC3060","Performance","No","","Closed","Power generation below stated level","","","","","2023-10-28T20:45:25.000Z","Electrical"
"001Hp00002g1VGgIAM","","00001021","2022-09-09T18:59:51.000Z","","spavlova@uog.com","(212) 842-5501","003Hp00002pTA6mIAG","(212) 842-5501","(212) 842-5500","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","435143","500Hp00001dGBo2IAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","Yes","High","GC3060","Installation","","","Closed","Generator GC3060 platform structure is weakening","","","","","2023-10-28T20:45:25.000Z","Structural"
"001Hp00002g1VGgIAM","","00001022","2022-09-09T18:59:51.000Z","","spavlova@uog.com","(212) 842-5501","003Hp00002pTA6mIAG","(212) 842-5501","(212) 842-5500","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","456345","500Hp00001dGBo3IAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","No","Medium","GC5060","Performance","No","","Closed","Signal panel on GC5060 blinks intermittently","","","","","2023-10-28T20:45:25.000Z","Electronic"
"001Hp00002g1VGgIAM","","00001023","2022-09-09T18:59:51.000Z","","spavlova@uog.com","(212) 842-5501","003Hp00002pTA6mIAG","(212) 842-5501","(212) 842-5500","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","265794","500Hp00001dGBo4IAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","No","High","GC5060","Other","No","","Closed","Electric surge damaging adjacent equipment","","","","","2023-10-28T20:45:25.000Z","Electrical"
"001Hp00002g1VGgIAM","","00001024","","","lboyle@uog.com","(212) 842-5501","003Hp00002pTA6nIAG","(212) 842-5611","(212) 842-5500","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","868314","500Hp00001dGBo5IAG","false","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Web","005Hp00000hnUYPIA2","","No","Low","GC3040","Equipment Design","No","","New","Design issue with mechanical rotor","","","","","2023-10-28T20:45:25.000Z","Mechanical"
"001Hp00002g1VGgIAM","","00001025","2022-09-09T18:59:51.000Z","","lboyle@uog.com","(212) 842-5501","003Hp00002pTA6nIAG","(212) 842-5611","(212) 842-5500","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","572546","500Hp00001dGBo6IAG","true","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","Phone","005Hp00000hnUYPIA2","","No","Medium","GC5040","Equipment Design","No","","Closed","Motor design hindering performance","","","","","2023-10-28T20:45:25.000Z","Electrical"
