"ACCOUNTID","ASSISTANTNAME","ASSISTANTPHONE","BIRTHDATE","CLEANSTATUS","CREATEDBYID","CREATEDDATE","DEPARTMENT","DESCRIPTION","EMAIL","EMAILBOUNCEDDATE","EMAILBOUNCEDREASON","FAX","FIRSTNAME","HOMEPHONE","ID","INDIVIDUALID","ISDELETED","ISEMAILBOUNCED","ISPRIORITYRECORD","JIGSAW","JIGSAWCONTACTID","LANGUAGES__C","LASTACTIVITYDATE","LASTCUREQUESTDATE","LASTCUUPDATEDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTNAME","LASTREFERENCEDDATE","LASTVIEWEDDATE","LEADSOURCE","LEVEL__C","MAILINGADDRESS","MAILINGCITY","MAILINGCOUNTRY","MAILINGGEOCODEACCURACY","MAILINGLATITUDE","MAILINGLONGITUDE","MAILINGPOSTALCODE","MAILINGSTATE","MAILINGSTREET","MASTERRECORDID","MOBILEPHONE","NAME","OTHERADDRESS","OTHERCITY","OTHERCOUNTRY","OTHERGEOCODEACCURACY","OTHERLATITUDE","OTHERLONGITUDE","OTHERPHONE","OTHERPOSTALCODE","OTHERSTATE","OTHERSTREET","OWNERID","PHONE","PHOTOURL","REPORTSTOID","SALUTATION","SYSTEMMODSTAMP","TITLE"
"001Hp00002g1VGlIAM","","","1945-12-20","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Technology","","efrank@genepoint.com","","","(650) 867-9895","Edna","","003Hp00002pTA6vIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Frank","","","Partner","Primary","","","","","","","","","345 Shoreline Park
Mountain View, CA 94043
USA","","(650) 867-7686","Edna Frank","","","","","","","","","","","005Hp00000hnUYPIA2","(650) 867-3450","/services/images/photo/003Hp00002pTA6vIAG","","Ms.","2023-10-28T20:45:25.000Z","VP, Technology"
"001Hp00002g1VGgIAM","Pat Feinstein","(212) 842-5464","1955-05-29","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Executive Team","","asong@uog.com","","","(212) 842-5501","Arthur","","003Hp00002pTA6rIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Song","","","Public Relations","Secondary","","","","","","","","","1301 Avenue of the Americas 
New York, NY 10019
USA","","(212) 842-4535","Arthur Song","","","","","","","","","","","005Hp00000hnUYPIA2","(212) 842-5500","/services/images/photo/003Hp00002pTA6rIAG","","Mr.","2023-10-28T20:45:25.000Z","CEO"
"001Hp00002g1VGiIAM","","","1947-11-28","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Administration","","jane_gray@uoa.edu","","","(520) 773-9060","Jane","","003Hp00002pTA6qIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Grey","","","Word of mouth","Primary","","","","","","","","","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","","(520) 773-4539","Jane Grey","","","","","","","","","","","005Hp00000hnUYPIA2","(520) 773-9050","/services/images/photo/003Hp00002pTA6qIAG","","Ms.","2023-10-28T20:45:25.000Z","Dean of Administration"
"001Hp00002g1VGgIAM","","","1964-03-15","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Technology","","lboyle@uog.com","","","(212) 842-5501","Lauren","","003Hp00002pTA6nIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Boyle","","","Public Relations","Secondary","","","","","","","","","1304 Avenue of the Americas 
New York, NY 10019
USA","","(212) 842-5611","Lauren Boyle","","","","","","","","","","","005Hp00000hnUYPIA2","(212) 842-5500","/services/images/photo/003Hp00002pTA6nIAG","","Ms.","2023-10-28T20:45:25.000Z","SVP, Technology"
"001Hp00002g1VGdIAM","Jean Marie","(014) 427-4465","","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Finance","","pat@pyramid.net","","","(014) 427-4428","Pat","","003Hp00002pTA6iIAG","","false","false","false","","","French, English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Stumuller","","","","Primary","","Paris","France","","","","75251","","2 Place Jussieu","","(014) 454-6364","Pat Stumuller","","Paris","France","","","","","75251","","2 Place Jussieu","005Hp00000hnUYPIA2","(014) 427-4427","/services/images/photo/003Hp00002pTA6iIAG","","Ms.","2023-10-28T20:45:25.000Z","SVP, Administration and Finance"
"001Hp00002g1VGjIAM","","","1950-02-05","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Finance","","ajames@uog.com","","","+44 191 4956620","Ashley","","003Hp00002pTA6sIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","James","","","Public Relations","Primary","","","","","","","","","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","","+44 191 3456234","Ashley James","","","","","","","","","","","005Hp00000hnUYPIA2","+44 191 4956203","/services/images/photo/003Hp00002pTA6sIAG","","Ms.","2023-10-28T20:45:25.000Z","VP, Finance"
"001Hp00002g1VGmIAM","","","","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","","","","","Siddartha","","003Hp00002pTA6xIAG","","false","false","false","","","","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Nedaerk","","","","","","San Francisco","US","","","","94087","CA","The Landmark @ One Market","","","Siddartha Nedaerk","","","","","","","","","","","005Hp00000hnUYPIA2","","/services/images/photo/003Hp00002pTA6xIAG","","Ms.","2023-10-28T20:45:25.000Z",""
"001Hp00002g1VGgIAM","Chris Nobel","(212) 842-5428","1937-05-09","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Finance","","agreen@uog.com","","","(212) 842-5501","Avi","","003Hp00002pTA6wIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Green","","","Public Relations","Primary","","","","","","","","","1302 Avenue of the Americas 
New York, NY 10019
USA","","(212) 842-2383","Avi Green","","","","","","","","","","","005Hp00000hnUYPIA2","(212) 842-5500","/services/images/photo/003Hp00002pTA6wIAG","","Mr.","2023-10-28T20:45:25.000Z","CFO"
"001Hp00002g1VGbIAM","","","1971-10-10","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Procurement","","rose@edge.com","","","(512) 757-9000","Rose","","003Hp00002pTA6fIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Gonzalez","","","Trade Show","Primary","","","","","","","","","313 Constitution Place
Austin, TX 78767
USA","","(512) 757-9340","Rose Gonzalez","","","","","","","","","","","005Hp00000hnUYPIA2","(512) 757-6000","/services/images/photo/003Hp00002pTA6fIAG","","Ms.","2023-10-28T20:45:25.000Z","SVP, Procurement"
"001Hp00002g1VGeIAM","","","","Pending","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Internal Operations","","a_young@dickenson.com","","","","Andy","","003Hp00002pTA6jIAG","","false","false","false","","","English","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Young","","","Purchased List","Primary","","Lawrence","USA","","","","66045","KS","1301 Hoch Drive","","(785) 265-5350","Andy Young","","Lawrence","USA","","","","","66045","KS","1301 Hoch Drive","005Hp00000hnUYPIA2","(785) 241-6200","/services/images/photo/003Hp00002pTA6jIAG","","Mr","2023-10-28T20:45:25.000Z","SVP, Operations"
