"ADDRESS","ANNUALREVENUE","CITY","CLEANSTATUS","COMPANY","COMPANYDUNSNUMBER","CONVERTEDACCOUNTID","CONVERTEDCONTACTID","CONVERTEDDATE","CONVERTEDOPPORTUNITYID","COUNTRY","CREATEDBYID","CREATEDDATE","CURRENTGENERATORS__C","DANDBCOMPANYID","DESCRIPTION","EMAIL","EMAILBOUNCEDDATE","EMAILBOUNCEDREASON","FAX","FIRSTNAME","GEOCODEACCURACY","ID","INDIVIDUALID","INDUSTRY","ISCONVERTED","ISDELETED","ISPRIORITYRECORD","ISUNREADBYOWNER","JIGSAW","JIGSAWCONTACTID","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTNAME","LASTREFERENCEDDATE","LASTVIEWEDDATE","LATITUDE","LEADSOURCE","LONGITUDE","MASTERRECORDID","MOBILEPHONE","NAME","NUMBEROFEMPLOYEES","NUMBEROFLOCATIONS__C","OWNERID","PHONE","PHOTOURL","POSTALCODE","PRIMARY__C","PRODUCTINTEREST__C","RATING","SICCODE__C","SALUTATION","STATE","STATUS","STREET","SYSTEMMODSTAMP","TITLE","WEBSITE"
"","","","Pending","Aethna Home Products","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","kakin@athenahome.com","","","","Kristen","","00QHp00001TVByZMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Akin","","","","Partner Referral","","","","Kristen Akin","","130.0","005Hp00000hnUYPIA2","(434) 369-3100","/services/images/photo/00QHp00001TVByZMAX","","Yes","GC5000 series","","2768","Ms","VA","Working - Contacted","","2023-10-28T20:54:20.000Z","Director, Warehouse Mgmt",""
"","","","Pending","Hendrickson Trading","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","John Deere","","","pam_owenby@hendricksontrading.com","","","","Pamela","","00QHp00001TVByVMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Owenby","","","","Partner Referral","","","","Pamela Owenby","","3.0","005Hp00000hnUYPIA2","(570) 326-1571","/services/images/photo/00QHp00001TVByVMAX","","Yes","GC5000 series","","7267","Ms","PA","Closed - Not Converted","","2023-10-28T20:54:20.000Z","SVP, Technology",""
"","","","Pending","Highland Manufacturing Ltd.","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","sandra_e@highland.net","","","","Sandra","","00QHp00001TVByfMAH","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Eberhard","","","","Purchased List","","","","Sandra Eberhard","","130.0","005Hp00000hnUYPIA2","(626) 440-0700","/services/images/photo/00QHp00001TVByfMAH","","Yes","GC5000 series","","2768","Ms","CA","Working - Contacted","","2023-10-28T20:54:20.000Z","VP, Production",""
"","","","Pending","Metropolitan Health Services","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","likeb@metro.com","","","","Mike","","00QHp00001TVByOMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Braund","","","","Purchased List","","","","Mike Braund","","130.0","005Hp00000hnUYPIA2","(410) 381-2334","/services/images/photo/00QHp00001TVByOMAX","","Yes","GC5000 series","","2768","Mr","MD","Open - Not Contacted","","2023-10-28T20:54:20.000Z","VP, Technology",""
"","","","Pending","Cadinal Inc.","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","brenda@cardinal.net","","","","Brenda","","00QHp00001TVByQMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Mcclure","","","","Web","","","","Brenda Mcclure","","130.0","005Hp00000hnUYPIA2","(847) 262-5000","/services/images/photo/00QHp00001TVByQMAX","","Yes","GC5000 series","","2768","Ms","IL","Working - Contacted","","2023-10-28T20:54:20.000Z","CFO",""
"","3.5E8","Burlington","Pending","Burlington Textiles Corp of America","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","John Deere","","","jrogers@btca.com","","","(336) 222-8000","Jack","","00QHp00001TVBycMAH","","Apparel","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Rogers","","","","Web","","","","Jack Rogers","9000","3.0","005Hp00000hnUYPIA2","(336) 222-7000","/services/images/photo/00QHp00001TVBycMAH","27215","Yes","GC5000 series","Warm","7267","Mr.","NC","Closed - Converted","525 S. Lexington Ave","2023-10-28T20:54:20.000Z","VP, Facilities",""
"","","","Pending","Emerson Transport","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","violetm@emersontransport.com","","","","Violet","","00QHp00001TVByRMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Maccleod","","","","Phone Inquiry","","","","Violet Maccleod","","130.0","005Hp00000hnUYPIA2","(770) 395-2370","/services/images/photo/00QHp00001TVByRMAX","","Yes","GC5000 series","","2768","Ms","GA","Working - Contacted","","2023-10-28T20:54:20.000Z","VP, Finance",""
"","","","Pending","Delphi Chemicals","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","tom.james@delphi.chemicals.com","","","","Tom","","00QHp00001TVByTMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","James","","","","Web","","","","Tom James","","130.0","005Hp00000hnUYPIA2","(952) 346-3500","/services/images/photo/00QHp00001TVByTMAX","","Yes","GC5000 series","","2768","Mr","MN","Working - Contacted","","2023-10-28T20:54:20.000Z","SVP, Production",""
"","","","Pending","Western Telecommunications Corp.","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","shellyb@westerntelecom.com","","","","Shelly","","00QHp00001TVByUMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Brownell","","","","Partner Referral","","","","Shelly Brownell","","130.0","005Hp00000hnUYPIA2","(408) 326-9000","/services/images/photo/00QHp00001TVByUMAX","","Yes","GC5000 series","","2768","Ms","CA","Working - Contacted","","2023-10-28T20:54:20.000Z","SVP, Technology",""
"","","","Pending","Greenwich Media","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","norm_may@greenwich.net","","","","Norm","","00QHp00001TVByWMAX","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","May","","","","Web","","","","Norm May","","130.0","005Hp00000hnUYPIA2","(419) 289-3555","/services/images/photo/00QHp00001TVByWMAX","","Yes","GC5000 series","","2768","Mr","OH","Working - Contacted","","2023-10-28T20:54:20.000Z","VP, Facilities",""
"","","","Pending","Zenith Industrial Partners","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","John Deere","","","bill_dadio@zenith.com","","","","Bill","","00QHp00001TVBydMAH","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Dadio Jr","","","","Web","","","","Bill Dadio Jr","","3.0","005Hp00000hnUYPIA2","(614) 431-5000","/services/images/photo/00QHp00001TVBydMAH","","Yes","GC5000 series","","7267","Mr","OH","Closed - Not Converted","","2023-10-28T20:54:20.000Z","CFO",""
"","","","Pending","American Banking Corp.","","","","","","USA","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","All","","","bblair@abankingco.com","","","","Betty","","00QHp00001TVBygMAH","","","false","false","false","true","","","","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","Bair","","","","Purchased List","","","","Betty Bair","","130.0","005Hp00000hnUYPIA2","(610) 265-9100","/services/images/photo/00QHp00001TVBygMAH","","Yes","GC5000 series","","2768","Ms","PA","Working - Contacted","","2023-10-28T20:54:20.000Z","VP, Administration",""
